hood,meter_count,avg_rate,pain_raw,pain_log,pain_norm,parking_score
Allegheny Center,43,1,43,3.784189634,0.591960232,0.408039768
Allegheny West,28,1,28,3.36729583,0.512121616,0.487878384
Allentown,5,0.7,3.5,1.504077397,0.155299853,0.844700147
Beechview,9,1,9,2.302585093,0.308220691,0.691779309
Bloomfield,72,1.104166667,79.5,4.388257184,0.707644172,0.292355828
Bluff,38,1.763157895,67,4.219507705,0.675327249,0.324672751
Brighton Heights,1,1,1,0.693147181,0,1
Brookline,22,1,22,3.135494216,0.467729687,0.532270313
Carrick,11,0.590909091,6.5,2.014903021,0.253127191,0.746872809
Central Business District,93,3.97311828,369.5,5.914853445,1,0
Central Lawrenceville,21,1,21,3.091042453,0.459216806,0.540783194
Central Northside,6,1,6,1.945910149,0.239914485,0.760085515
Central Oakland,29,3,87,4.477336814,0.724703659,0.275296341
Crawford-Roberts,30,1.433333333,43,3.784189634,0.591960232,0.408039768
Duquesne Heights,3,1,3,1.386294361,0.132743426,0.867256574
East Allegheny,13,1,13,2.63905733,0.372657911,0.627342089
East Liberty,60,1.4,84,4.442651256,0.718061087,0.281938913
Friendship,1,1.5,1.5,0.916290732,0.042733838,0.957266162
Garfield,5,1,5,1.791759469,0.210393353,0.789606647
Greenfield,4,1.5,6,1.945910149,0.239914485,0.760085515
Homewood South,1,1,1,0.693147181,0,1
Knoxville,6,1,6,1.945910149,0.239914485,0.760085515
Lower Lawrenceville,16,1,16,2.833213344,0.409840396,0.590159604
Mount Washington,16,1,16,2.833213344,0.409840396,0.590159604
North Oakland,98,3,294,5.686975356,0.956359459,0.043640541
North Shore,38,3,114,4.744932128,0.775950378,0.224049622
Perry North,3,1,3,1.386294361,0.132743426,0.867256574
Point Breeze,4,1,4,1.609437912,0.175477265,0.824522735
Shadyside,53,1.556603774,82.5,4.424846632,0.714651354,0.285348646
South Oakland,3,3,9,2.302585093,0.308220691,0.691779309
South Side Flats,109,1.458715596,159,5.075173815,0.839194396,0.160805604
Squirrel Hill North,30,1.833333333,55,4.025351691,0.638144764,0.361855236
Squirrel Hill South,63,1.452380952,91.5,4.527208645,0.734254527,0.265745473
Strip District,51,1.5,76.5,4.350277936,0.700370831,0.299629169
Terrace Village,9,1.5,13.5,2.674148649,0.37937819,0.62062181
Upper Lawrenceville,1,1,1,0.693147181,0,1
West End,7,1,7,2.079441542,0.265486853,0.734513147
West Oakland,14,3,42,3.761200116,0.587557549,0.412442451
