hood,area_sqmiles,trash_count,trash_per_sqmi,trash_score
Allegheny Center,0.20893682,7.0,33.50295079632207,0.18775752131176435
Allegheny West,0.1447943,15.0,103.59523821034392,0.5805693135606207
Allentown,0.29699827,9.0,30.303206816659234,0.16982548893330032
Arlington,0.47997549,3.0,6.25031915692195,0.035028091687969554
Arlington Heights,0.12723371,0.0,0.0,0.0
Banksville,0.97761942,2.0,2.0457858744254485,0.011465010567335164
Bedford Dwellings,0.1756743,1.0,5.692352267804681,0.03190112891052384
Beechview,1.45920135,8.0,5.48245106818192,0.03072479882541796
Beltzhoover,0.41539974,3.0,7.221959262661069,0.0404733654183272
Bloomfield,0.70193062,58.0,82.62924902748937,0.4630715389689514
Bluff,0.32526123,28.0,86.08465263443786,0.4824363412013447
Bon Air,0.31483044,0.0,0.0,0.0
Brighton Heights,1.11702235,24.0,21.485693638985826,0.12041030671730509
Brookline,2.08892976,17.0,8.138138641866062,0.04560782567414935
California-Kirkbride,0.21689151,4.0,18.442400073658945,0.10335505507921519
Carrick,1.6695299,38.0,22.760898142644827,0.1275568186239189
Central Business District,0.64563198,7.0,10.842089947279254,0.060761332538023086
Central Lawrenceville,0.96011221,29.0,30.204802832368937,0.16927401248903512
Central Northside,0.2596781,10.0,38.50921583298707,0.21581367433626622
Central Oakland,0.28004652,34.0,121.40840029006608,0.6803979877316286
Chartiers City,0.13401531,0.0,0.0,0.0
Chateau,0.38251231,5.0,13.071474745479433,0.07325526975283538
Crafton Heights,0.75131668,8.0,10.647973368566769,0.05967346275944294
Crawford-Roberts,0.25134182,21.0,83.55155540769141,0.468240336215783
Duquesne Heights,0.61955559,3.0,4.842180505545919,0.02713658910203379
East Allegheny,0.23491555,26.0,110.67807133244266,0.6202629870807488
East Carnegie,0.43345506,1.0,2.3070442412184553,0.01292915692474795
East Hills,0.5405573,2.0,3.6998852850567365,0.02073492852863531
East Liberty,0.58137897,68.0,116.96329504316263,0.6554866911654726
Elliott,0.60589038,12.0,19.805562847853768,0.11099450347238136
Esplen,0.23111759,0.0,0.0,0.0
Fairywood,0.96959084,0.0,0.0,0.0
Fineview,0.24848933,3.0,12.072952991583179,0.0676593456616351
Friendship,0.10619141,12.0,113.00349058365455,0.6332951213925162
Garfield,0.45738457,7.0,15.304407842179723,0.08576909237222906
Glen Hazel,0.45746307,0.0,0.0,0.0
Greenfield,0.77443557,14.0,18.077682046551658,0.10131109921503803
Hays,1.74509782,0.0,0.0,0.0
Hazelwood,1.6052427,18.0,11.213257658795147,0.06284143377832442
Highland Park,1.16986009,12.0,10.257636876902092,0.057485935678678005
Homewood North,0.4325542,4.0,9.24739604886509,0.05182433545267657
Homewood South,0.38714814,28.0,72.32373633514035,0.40531729723885307
Homewood West,0.19520326,2.0,10.245730527246318,0.057419210012845466
Knoxville,0.29962465,7.0,23.36256379440076,0.13092867837797145
Larimer,0.44518392,20.0,44.925252466441286,0.2517704813132531
Lincoln Place,0.98153251,7.0,7.13170468495231,0.03996755994761933
Lincoln-Lemington-Belmar,1.81810116,6.0,3.3001464010946453,0.018494708481125565
Lower Lawrenceville,0.42994414,29.0,67.45062277160005,0.37800735283056797
Manchester,0.27904856,6.0,21.501633980838317,0.12049963971645734
Marshall-Shadeland,1.25407261,17.0,13.555833900239637,0.07596971944042591
Middle Hill,0.3051406,29.0,95.03815618111783,0.5326136417979618
Morningside,0.37460783,8.0,21.355666804935712,0.11968160922992001
Mount Washington,1.13253078,25.0,22.07445523025873,0.12370984942603587
Mt. Oliver,0.10329752,1.0,9.68077452391887,0.05425307878220153
New Homestead,0.78997174,0.0,0.0,0.0
North Oakland,0.49700201,14.0,28.16890016199331,0.15786438945774994
North Shore,0.29702305,53.0,178.4373300321305,1.0
Northview Heights,0.31379713,1.0,3.1867722945713366,0.0178593363507373
Oakwood,0.25238278,1.0,3.962235458377945,0.022205193597463497
Overbrook,0.83649724,0.0,0.0,0.0
Perry North,1.20991298,15.0,12.39758581646095,0.06947865569513155
Perry South,0.90634615,12.0,13.239974594695417,0.07419957803847069
